ReviewText,Sentiment
"The battery life on this laptop is incredible, lasting over 15 hours of heavy use.",positive
"Absolutely brilliant acting and a masterpiece storyline that kept me hooked.",positive
"Excellent customer service. They resolved my issue and gave me a free month.",positive
"This phone constantly crashes, overheats, and drains battery in two hours.",negative
"A total waste of money. The acting was stale and the plot made no sense.",negative
"Worst support experience ever. They ignored my emails and refused a refund.",negative
"The device is basic, nothing special but it works exactly as advertised.",neutral
"The movie was average. Good cinematography and sets but the pacing was slow.",neutral
"I contacted support today. They answered my query at a normal response speed.",neutral
"What a beautiful, sunny day! Feeling energized and ready to tackle the week.",positive
"The food was completely cold, excessively salty, and the waiter was incredibly rude.",negative
"Just finished eating lunch. Had a standard turkey sandwich and a bottle of water.",neutral
